ID,Section,Context,RU
LOC_0048,UI,Туториал - текст,"Кликайте по рабочей зоне, чтобы выжимать KPI. Покупайте карточки, чтобы работать эффективнее и страдать продуктивнее. XP двигает вас к следующему рангу."
LOC_0049,UI,Оффлайн-попап - заголовок,ПОКА ВАС НЕ БЫЛО
LOC_0050,UI,Оффлайн-попап - описание,"Офис сделал вид, что работал."
LOC_0051,UI,Финал - заголовок,КАРЬЕРА ЗАВЕРШЕНА
LOC_0052,UI,Финал - текст,"Вы достигли CEO. Теперь можно ничего не понимать, но уверенно согласовывать процессы."
LOC_0053,UI,Финал - подпись «итоговый KPI»,Итоговый KPI:
LOC_0054,UI,"Финал - подтверждение, заголовок",НАЧАТЬ НОВУЮ КАРЬЕРУ?
LOC_0055,UI,"Финал - подтверждение, текст","Текущий прогресс будет сброшен. HR обещает, что в этот раз будет иначе."
LOC_0056,UI,Диалог «новая карьера» - заголовок,Новая карьера
LOC_0057,UI,Диалог «новая карьера» - текст,Начать заново? Весь прогресс будет сброшен.
LOC_0058,UI,Диалог «сброс прогресса» - заголовок,Сброс прогресса
LOC_0059,UI,Диалог «сброс прогресса» - текст,"Сбросить весь прогресс? Игра начнётся с нуля, как при первом запуске."
LOC_0060,UI,Диалог «главное меню» - текст,Выйти в главное меню? Прогресс будет сохранён.
LOC_0061,UI,Диалог «выход» - текст,Выйти из игры? Прогресс будет сохранён.
LOC_0062,CARDS,Карточка 1 (Intern/Click) - название,Нервный клик
LOC_0063,CARDS,Карточка 1 (Intern/Click) - описание,Мышка страдает вместе с тобой
LOC_0064,CARDS,Карточка 2 (Intern/Click) - название,Первый дедлайн
LOC_0065,CARDS,Карточка 2 (Intern/Click) - описание,"Ты не понял, но уже срочно"
LOC_0066,CARDS,Карточка 3 (Intern/Click) - название,Слепой тык
LOC_0067,CARDS,Карточка 3 (Intern/Click) - описание,"Метод научный, просто без науки"
LOC_0068,CARDS,Карточка 58 (Intern/Click) - название,Тык по инструкции
LOC_0069,CARDS,Карточка 58 (Intern/Click) - описание,"Ничего не понял, но нажал"
LOC_0070,CARDS,Карточка 4 (Intern/Passive) - название,Фоновая паника
LOC_0071,CARDS,Карточка 4 (Intern/Passive) - описание,"KPI капает, тревога тоже"
LOC_0072,CARDS,Карточка 5 (Intern/Passive) - название,Автоответчик стажёра
LOC_0073,CARDS,Карточка 5 (Intern/Passive) - описание,"Никто не читает, но работает"
LOC_0074,CARDS,Карточка 59 (Intern/Passive) - название,Стажёрская очередь
LOC_0075,CARDS,Карточка 59 (Intern/Passive) - описание,"Ждёшь ответа, KPI капает"
LOC_0076,CARDS,Карточка 60 (Intern/Passive) - название,Открытый туториал
LOC_0077,CARDS,Карточка 60 (Intern/Passive) - описание,"Вкладка висит, польза считается"
LOC_0078,CARDS,Карточка 6 (Intern/Passive) - название,Чужая инструкция
LOC_0079,CARDS,Карточка 6 (Intern/Passive) - описание,"Скопировал чужое, получил своё"
LOC_0080,CARDS,Карточка 7 (Intern/Special) - название,Бесплатный кофе
LOC_0081,CARDS,Карточка 7 (Intern/Special) - описание,"Руки трясутся, но работа идёт"
LOC_0082,CARDS,Карточка 8 (Intern/Special) - название,Ментор онлайн
LOC_0083,CARDS,Карточка 8 (Intern/Special) - описание,Сейчас объяснит и исчезнет снова
LOC_0084,CARDS,Карточка 61 (Intern/Special) - название,Чай из кулера
LOC_0085,CARDS,Карточка 61 (Intern/Special) - описание,"Вкус сомнительный, скорость рабочая"
LOC_0086,CARDS,Карточка 9 (Junior/Click) - название,Горящие клавиши
LOC_0087,CARDS,Карточка 9 (Junior/Click) - описание,"Пальцы болят, но ты жмёшь дальше"
LOC_0088,CARDS,Карточка 10 (Junior/Click) - описание,"Если прокатило, значит правильно"
LOC_0089,CARDS,Карточка 11 (Junior/Click) - название,Спросить в чате
LOC_0090,CARDS,Карточка 11 (Junior/Click) - описание,Ответят через три часа
LOC_0091,CARDS,Карточка 62 (Junior/Click) - название,Баг на удачу
LOC_0092,CARDS,Карточка 62 (Junior/Click) - описание,"Нашёл случайно, выглядишь умно"
LOC_0093,CARDS,Карточка 63 (Junior/Click) - название,Мышиная ярость
LOC_0094,CARDS,Карточка 63 (Junior/Click) - описание,"Курсор плачет, задача движется"
LOC_0095,CARDS,Карточка 12 (Junior/Passive) - название,Фоновая суета
LOC_0096,CARDS,Карточка 12 (Junior/Passive) - описание,Что-то делается само
LOC_0097,CARDS,Карточка 13 (Junior/Passive) - название,Вечный статус
LOC_0098,CARDS,Карточка 13 (Junior/Passive) - описание,"Вроде занят, вроде нет"
LOC_0099,CARDS,Карточка 64 (Junior/Passive) - название,Джунский автопилот
LOC_0100,CARDS,Карточка 64 (Junior/Passive) - описание,"Делаешь привычно, страдаешь стабильно"
LOC_0101,CARDS,Карточка 65 (Junior/Passive) - название,Очередь в ревью
LOC_0102,CARDS,Карточка 65 (Junior/Passive) - описание,"Тебя ждут, KPI идёт"
LOC_0103,CARDS,Карточка 66 (Junior/Passive) - название,Тикет без ответа
LOC_0104,CARDS,Карточка 66 (Junior/Passive) - описание,"Вопрос висит, прогресс считается"
LOC_0105,CARDS,Карточка 14 (Junior/Passive) - название,Задача висит
LOC_0106,CARDS,Карточка 14 (Junior/Passive) - описание,"Никто не трогает, KPI идёт"
LOC_0107,CARDS,Карточка 15 (Junior/Special) - название,Гугл знает лучше
LOC_0108,CARDS,Карточка 15 (Junior/Special) - описание,Документация для слабых
LOC_0109,CARDS,Карточка 16 (Junior/Special) - название,Срочный фикс
LOC_0110,CARDS,Карточка 16 (Junior/Special) - описание,"Сломал одно, поднял другое"
LOC_0111,CARDS,Карточка 17 (Junior/Special) - название,Созвон без цели
LOC_0112,CARDS,Карточка 17 (Junior/Special) - описание,"Время умерло, отчёт родился"
LOC_0113,CARDS,Карточка 67 (Junior/Special) - название,Кофе из автомата
LOC_0114,CARDS,Карточка 67 (Junior/Special) - описание,"Не вкусно, зато быстрее"
LOC_0115,CARDS,Карточка 18 (Middle/Click) - название,Костыль работает
LOC_0116,CARDS,Карточка 18 (Middle/Click) - описание,Главное не трогать
LOC_0117,CARDS,Карточка 19 (Middle/Click) - название,Быстрый ревью
LOC_0118,CARDS,Карточка 19 (Middle/Click) - описание,"Посмотрел бегло, осудил уверенно"
LOC_0119,CARDS,Карточка 68 (Middle/Click) - название,Уверенный костыль
LOC_0120,CARDS,Карточка 68 (Middle/Click) - описание,"Работает странно, но уже принято"
LOC_0121,CARDS,Карточка 20 (Middle/Click) - название,Тык в проде
LOC_0122,CARDS,Карточка 20 (Middle/Click) - описание,"Смело, опасно, почти профессионально"
LOC_0123,CARDS,Карточка 69 (Middle/Click) - название,Быстрый фикс
LOC_0124,CARDS,Карточка 69 (Middle/Click) - описание,"Починил быстро, молишься тихо"
LOC_0125,CARDS,Карточка 70 (Middle/Click) - название,Правка по памяти
LOC_0126,CARDS,Карточка 70 (Middle/Click) - описание,"Где-то видел, значит сойдёт"
LOC_0127,CARDS,Карточка 21 (Middle/Passive) - название,Автопилот задач
LOC_0128,CARDS,Карточка 21 (Middle/Passive) - описание,"Ты устал, система делает вид"
LOC_0129,CARDS,Карточка 22 (Middle/Passive) - название,Тихий переработ
LOC_0130,CARDS,Карточка 22 (Middle/Passive) - описание,"Никто не просил, но надо"
LOC_0131,CARDS,Карточка 71 (Middle/Passive) - название,Дежурный мониторинг
LOC_0132,CARDS,Карточка 71 (Middle/Passive) - описание,"Всё зелёное, пока не красное"
LOC_0133,CARDS,Карточка 72 (Middle/Passive) - название,Рабочий шум
LOC_0134,CARDS,Карточка 72 (Middle/Passive) - описание,"Все заняты, цифры ползут"
LOC_0135,CARDS,Карточка 73 (Middle/Passive) - название,Старый скрипт
LOC_0136,CARDS,Карточка 73 (Middle/Passive) - описание,"Никто не помнит, но помогает"
LOC_0137,CARDS,Карточка 23 (Middle/Passive) - название,Табличная магия
LOC_0138,CARDS,Карточка 23 (Middle/Passive) - описание,"Формулы плачут, KPI растёт"
LOC_0139,CARDS,Карточка 24 (Middle/Special) - название,Перерыв на мемы
LOC_0140,CARDS,Карточка 24 (Middle/Special) - описание,"Мозг перезагрузился, вина осталась"
LOC_0141,CARDS,Карточка 25 (Middle/Special) - название,Нашёл виноватого
LOC_0142,CARDS,Карточка 25 (Middle/Special) - описание,"Команда выдохнула, ты нет"
LOC_0143,CARDS,Карточка 26 (Middle/Special) - название,Минус один баг
LOC_0144,CARDS,Карточка 26 (Middle/Special) - описание,"Появилось два, но потом"
LOC_0145,CARDS,Карточка 74 (Middle/Special) - название,Тихий деплой
LOC_0146,CARDS,Карточка 74 (Middle/Special) - описание,"Ничего не упало, подозрительно"
LOC_0147,CARDS,Карточка 27 (Senior/Click) - название,Боевой рефактор
LOC_0148,CARDS,Карточка 27 (Senior/Click) - описание,"Всё страшно, но стало быстрее"
LOC_0149,CARDS,Карточка 28 (Senior/Click) - название,Правка на лету
LOC_0150,CARDS,Карточка 28 (Senior/Click) - описание,Проверять будем уже после релиза
LOC_0151,CARDS,Карточка 29 (Senior/Click) - название,Жёсткий приоритет
LOC_0152,CARDS,Карточка 29 (Senior/Click) - описание,"Всё важно, но это важнее"
LOC_0153,CARDS,Карточка 75 (Senior/Click) - название,Архитектурный удар
LOC_0154,CARDS,Карточка 75 (Senior/Click) - описание,"Схема сложная, клик сильнее"
LOC_0155,CARDS,Карточка 30 (Senior/Click) - название,Последний аргумент
LOC_0156,CARDS,Карточка 30 (Senior/Click) - описание,"Кликнул так, что спор закончился"
LOC_0157,CARDS,Карточка 76 (Senior/Click) - название,Экстренный патч
LOC_0158,CARDS,Карточка 76 (Senior/Click) - описание,"Временный навсегда, зато работает"
LOC_0159,CARDS,Карточка 77 (Senior/Click) - название,Точный тык
LOC_0160,CARDS,Карточка 77 (Senior/Click) - описание,"Попал туда, куда боялись"
LOC_0161,CARDS,Карточка 31 (Senior/Passive) - название,Система держится
LOC_0162,CARDS,Карточка 31 (Senior/Passive) - описание,Никто не знает почему
LOC_0163,CARDS,Карточка 32 (Senior/Passive) - название,Наследие легаси
LOC_0164,CARDS,Карточка 32 (Senior/Passive) - описание,Старый ужас приносит KPI
LOC_0165,CARDS,Карточка 78 (Senior/Passive) - название,Самописный бот
LOC_0166,CARDS,Карточка 78 (Senior/Passive) - описание,"Делает работу, пугает коллег"
LOC_0167,CARDS,Карточка 79 (Senior/Passive) - название,Лог сам сказал
LOC_0168,CARDS,Карточка 79 (Senior/Passive) - описание,"Ты слушал, система призналась"
LOC_0169,CARDS,Карточка 80 (Senior/Passive) - название,Тихий скрипт
LOC_0170,CARDS,Карточка 80 (Senior/Passive) - описание,"Работает ночью, славы не просит"
LOC_0171,CARDS,Карточка 81 (Senior/Passive) - название,Запасной костыль
LOC_0172,CARDS,Карточка 81 (Senior/Passive) - описание,"Лежал годами, снова пригодился"
LOC_0173,CARDS,Карточка 33 (Senior/Passive) - название,Невидимая работа
LOC_0174,CARDS,Карточка 33 (Senior/Passive) - описание,"Её нет, пока не сломается"
LOC_0175,CARDS,Карточка 34 (Senior/Special) - название,Релизный угар
LOC_0176,CARDS,Карточка 34 (Senior/Special) - описание,Паника временно повышает продуктивность
LOC_0177,CARDS,Карточка 35 (Senior/Special) - название,Магия опыта
LOC_0178,CARDS,Карточка 35 (Senior/Special) - описание,Ты уже страдал похожим образом
LOC_0179,CARDS,Карточка 36 (Senior/Special) - название,Тишина в чате
LOC_0180,CARDS,Карточка 36 (Senior/Special) - описание,Редкий баф на концентрацию
LOC_0181,CARDS,Карточка 82 (Senior/Special) - название,Боевой режим
LOC_0182,CARDS,Карточка 82 (Senior/Special) - описание,"Сон выключен, продуктивность включена"
LOC_0183,CARDS,Карточка 37 (Lead/Click) - название,Давление сверху
LOC_0184,CARDS,Карточка 37 (Lead/Click) - описание,"Кликаешь быстрее, потому что надо"
LOC_0185,CARDS,Карточка 38 (Lead/Click) - название,Разбор полётов
LOC_0186,CARDS,Карточка 38 (Lead/Click) - описание,"Все виноваты, KPI твой"
LOC_0187,CARDS,Карточка 39 (Lead/Click) - название,Сильное решение
LOC_0188,CARDS,Карточка 39 (Lead/Click) - описание,"Сомнительно, зато уверенно сказано"
LOC_0189,CARDS,Карточка 83 (Lead/Click) - название,Тимлидский взгляд
LOC_0190,CARDS,Карточка 83 (Lead/Click) - описание,"Посмотрел строго, процесс ускорился"
LOC_0191,CARDS,Карточка 40 (Lead/Click) - название,Пинок процессу
LOC_0192,CARDS,Карточка 40 (Lead/Click) - описание,Процесс застонал и ускорился
LOC_0193,CARDS,Карточка 84 (Lead/Click) - название,Удар по бэклогу
LOC_0194,CARDS,Карточка 84 (Lead/Click) - описание,"Задачи дрогнули, дедлайн ожил"
LOC_0195,CARDS,Карточка 85 (Lead/Click) - название,Командный пинг
LOC_0196,CARDS,Карточка 85 (Lead/Click) - описание,"Все проснулись, ты виноват"
LOC_0197,CARDS,Карточка 41 (Lead/Passive) - название,Делегировал боль
LOC_0198,CARDS,Карточка 41 (Lead/Passive) - описание,"Другие страдают, KPI капает"
LOC_0199,CARDS,Карточка 42 (Lead/Passive) - название,Планёрка кормит
LOC_0200,CARDS,Карточка 42 (Lead/Passive) - описание,"Слова закончились, цифры выросли"
LOC_0201,CARDS,Карточка 86 (Lead/Passive) - название,Созвон капает
LOC_0202,CARDS,Карточка 86 (Lead/Passive) - описание,"Говорят долго, KPI растёт"
LOC_0203,CARDS,Карточка 87 (Lead/Passive) - название,Чужие дедлайны
LOC_0204,CARDS,Карточка 87 (Lead/Passive) - описание,"Они спешат, ты получаешь"
LOC_0205,CARDS,Карточка 88 (Lead/Passive) - название,Асинхронная боль
LOC_0206,CARDS,Карточка 88 (Lead/Passive) - описание,"Никто не рядом, все страдают"
LOC_0207,CARDS,Карточка 89 (Lead/Passive) - название,Канбан дышит
LOC_0208,CARDS,Карточка 89 (Lead/Passive) - описание,"Карточки двигаются, люди нет"
LOC_0209,CARDS,Карточка 43 (Lead/Passive) - название,Командная усталость
LOC_0210,CARDS,Карточка 43 (Lead/Passive) - описание,Каждый выгорел в общий зачёт
LOC_0211,CARDS,Карточка 90 (Lead/Passive) - название,Отчёт сам пишется
LOC_0212,CARDS,Карточка 90 (Lead/Passive) - описание,"Цифры красивые, смысл устал"
LOC_0213,CARDS,Карточка 44 (Lead/Special) - название,Эскалация наверх
LOC_0214,CARDS,Карточка 44 (Lead/Special) - описание,"Проблема улетела, бонус остался"
LOC_0215,CARDS,Карточка 45 (Lead/Special) - название,Фокус режим
LOC_0216,CARDS,Карточка 45 (Lead/Special) - описание,Все молчат подозрительно долго
LOC_0217,CARDS,Карточка 46 (Lead/Special) - название,Отмена встречи
LOC_0218,CARDS,Карточка 46 (Lead/Special) - описание,День внезапно стал продуктивным
LOC_0219,CARDS,Карточка 91 (Lead/Special) - название,Срочная эскалация
LOC_0220,CARDS,Карточка 91 (Lead/Special) - описание,"Все забегали, KPI подпрыгнул"
LOC_0221,CARDS,Карточка 92 (Lead/Special) - название,День без митингов
LOC_0222,CARDS,Карточка 92 (Lead/Special) - описание,"Невероятно, работа реально пошла"
LOC_0223,CARDS,Карточка 47 (CEO/Click) - название,Клик акционера
LOC_0224,CARDS,Карточка 47 (CEO/Click) - описание,"Один жест, и все побежали"
LOC_0225,CARDS,Карточка 48 (CEO/Click) - название,Стратегический тык
LOC_0226,CARDS,Карточка 48 (CEO/Click) - описание,"Никто не понял, но записали"
LOC_0227,CARDS,Карточка 49 (CEO/Click) - название,Большая кнопка
LOC_0228,CARDS,Карточка 49 (CEO/Click) - описание,"Нажал красиво, последствия потом"
LOC_0229,CARDS,Карточка 93 (CEO/Click) - название,Королевский клик
LOC_0230,CARDS,Карточка 93 (CEO/Click) - описание,"Нажал один раз, отдел побежал"
LOC_0231,CARDS,Карточка 50 (CEO/Click) - название,Видение сверху
LOC_0232,CARDS,Карточка 50 (CEO/Click) - описание,"Деталей нет, зато масштабно"
LOC_0233,CARDS,Карточка 94 (CEO/Click) - название,Приказ сверху
LOC_0234,CARDS,Карточка 94 (CEO/Click) - описание,"Логики нет, скорость есть"
LOC_0235,CARDS,Карточка 95 (CEO/Click) - название,Кнопка роста
LOC_0236,CARDS,Карточка 95 (CEO/Click) - описание,"Жмёшь уверенно, страдают другие"
LOC_0237,CARDS,Карточка 51 (CEO/Passive) - название,Деньги сами
LOC_0238,CARDS,Карточка 51 (CEO/Passive) - описание,KPI пахнет чужими переработками
LOC_0239,CARDS,Карточка 52 (CEO/Passive) - название,Совет директоров
LOC_0240,CARDS,Карточка 52 (CEO/Passive) - описание,"Сидят дорого, капает стабильно"
LOC_0241,CARDS,Карточка 96 (CEO/Passive) - название,Бюджетный дождь
LOC_0242,CARDS,Карточка 96 (CEO/Passive) - описание,"Деньги падают, вопросы позже"
LOC_0243,CARDS,Карточка 97 (CEO/Passive) - название,Отдел оптимизации
LOC_0244,CARDS,Карточка 97 (CEO/Passive) - описание,"Люди исчезают, графики радуются"
LOC_0245,CARDS,Карточка 98 (CEO/Passive) - название,Инвестор доволен
LOC_0246,CARDS,Карточка 98 (CEO/Passive) - описание,"Никто не понял, но выросло"
LOC_0247,CARDS,Карточка 53 (CEO/Passive) - название,Мотивационная речь
LOC_0248,CARDS,Карточка 53 (CEO/Passive) - описание,"Все устали, прибыль поверила"
LOC_0249,CARDS,Карточка 99 (CEO/Passive) - название,Презентация успеха
LOC_0250,CARDS,Карточка 99 (CEO/Passive) - описание,"Проблемы спрятали, прибыль показали"
LOC_0251,CARDS,Карточка 54 (CEO/Passive) - название,Золотой парашют
LOC_0252,CARDS,Карточка 54 (CEO/Passive) - описание,Даже падение приносит доход
LOC_0253,CARDS,Карточка 55 (CEO/Special) - название,Массовая оптимизация
LOC_0254,CARDS,Карточка 55 (CEO/Special) - описание,"Людей меньше, график бодрее"
LOC_0255,CARDS,Карточка 56 (CEO/Special) - название,Великая презентация
LOC_0256,CARDS,Карточка 56 (CEO/Special) - описание,"Слайды сияют, реальность молчит"
LOC_0257,CARDS,Карточка 57 (CEO/Special) - название,Кризисный бонус
LOC_0258,CARDS,Карточка 57 (CEO/Special) - описание,"Всё горит, но премия капает"
LOC_0259,CARDS,Карточка 100 (CEO/Special) - название,Громкий анонс
LOC_0260,CARDS,Карточка 100 (CEO/Special) - описание,"Новостей мало, шума много"
LOC_0261,RANKS,Карьерный трек - флейвор Intern,ещё верит в задачи
LOC_0262,RANKS,Карьерный трек - флейвор Junior,"уже понял, что всё горит"
LOC_0263,RANKS,Карьерный трек - флейвор Middle,чинит чужие костыли
LOC_0264,RANKS,Карьерный трек - флейвор Senior,сам стал частью legacy
LOC_0265,RANKS,Карьерный трек - флейвор Lead,отвечает за всё
LOC_0266,RANKS,Карьерный трек - флейвор CEO,красиво смотрит на графики
LOC_0267,FLAVOR,Тост-событие 01,> Jira обновилась. Старые кнопки снова не там.
LOC_0268,FLAVOR,Тост-событие 02,> HR прислал рассылку. Усталость получена.
LOC_0269,FLAVOR,Тост-событие 03,> Баг почувствовал проверку и исчез.
LOC_0270,FLAVOR,Тост-событие 04,> Менеджер сказал «это быстро». Плохой знак.
LOC_0271,FLAVOR,Тост-событие 05,> Коллега написал «привет» и пропал.
LOC_0272,FLAVOR,Тост-событие 06,> Документация найдена. Уже устарела.
LOC_0273,FLAVOR,Тост-событие 07,> Всё зелёное. Тесты точно запускались?
LOC_0274,FLAVOR,Тост-событие 08,> Локально работает. Прод обиделся.
LOC_0275,FLAVOR,Тост-событие 09,> Задача вернулась из ревью. Комментарий: «не то».
LOC_0276,FLAVOR,Тост-событие 10,> Что-то само починилось. Не трогайте.
LOC_0277,FLAVOR,Тост-событие 11,> Таблица сошлась. Подозрительно приятно.
LOC_0278,FLAVOR,Тост-событие 12,> Кто-то закрыл ваш тикет. Вопросов нет.
LOC_0279,FLAVOR,Тост-событие 13,> Кнопку сдвинули на 2 пикселя. Срочно.
LOC_0280,FLAVOR,Тост-событие 14,> Логи открылись. Страдание стало структурным.
LOC_0281,FLAVOR,Тост-событие 15,> Созвон отменили.
LOC_0282,FLAVOR,Тост-событие 16,> Кофе подействовал.
LOC_0283,FLAVOR,Тост-событие 17,> Срочный баг. Уже третий день срочный.
LOC_0284,FLAVOR,Тост-событие 18,> Никто не пишет. Система напряглась.
LOC_0285,FLAVOR,Тост-событие 19,> Деплой в 18:00. Традиция сильнее здравого смысла.
LOC_0286,FLAVOR,Тост-событие 20,> График растёт. Смысл не проверяли.
LOC_0287,ACTIVE_EVENTS,Активное событие 01 - заголовок,СРОЧНЫЙ БАГ
LOC_0288,ACTIVE_EVENTS,Активное событие 01 - описание,Прод снова лежит. Никто не удивлён.
LOC_0289,ACTIVE_EVENTS,Активное событие 01 - эффект,Клики x2 · 30 сек.
LOC_0290,ACTIVE_EVENTS,Активное событие 01 - кнопка,РАЗГРЕСТИ
LOC_0291,ACTIVE_EVENTS,Активное событие 02 - заголовок,МИТИНГ ОТМЕНЁН
LOC_0292,ACTIVE_EVENTS,Активное событие 02 - описание,Час свободы. Неожиданно и подозрительно.
LOC_0293,ACTIVE_EVENTS,Активное событие 02 - эффект,Пассив x1.5 · 45 сек.
LOC_0294,ACTIVE_EVENTS,Активное событие 02 - кнопка,ИСПОЛЬЗОВАТЬ ТИШИНУ
LOC_0295,ACTIVE_EVENTS,Активное событие 03 - заголовок,КРИТИЧЕСКИЙ ФИКС
LOC_0296,ACTIVE_EVENTS,Активное событие 03 - описание,Нужно прямо сейчас. Как обычно.
LOC_0297,ACTIVE_EVENTS,Активное событие 03 - эффект,Клики x1.5 · 40 сек.
LOC_0298,ACTIVE_EVENTS,Активное событие 03 - кнопка,ФИКСИТЬ
LOC_0299,ACTIVE_EVENTS,Активное событие 04 - заголовок,ТИХИЙ ЧАС
LOC_0300,ACTIVE_EVENTS,Активное событие 04 - описание,Все в отпуске. Или скрываются. Неважно.
LOC_0301,ACTIVE_EVENTS,Активное событие 04 - эффект,Пассив x2 · 30 сек.
LOC_0302,ACTIVE_EVENTS,Активное событие 04 - кнопка,НЕ СПУГНУТЬ
LOC_0303,ACTIVE_EVENTS,Активное событие 05 - заголовок,ДЕНЬ РЕЛИЗА
LOC_0304,ACTIVE_EVENTS,Активное событие 05 - описание,Паника официально одобрена руководством.
LOC_0305,ACTIVE_EVENTS,Активное событие 05 - эффект,Клики x2.5 · 25 сек.
LOC_0306,ACTIVE_EVENTS,Активное событие 05 - кнопка,ГОРЕТЬ
LOC_0307,ACTIVE_EVENTS,Активное событие 06 - заголовок,ОТЧЁТ ДЛЯ CEO
LOC_0308,ACTIVE_EVENTS,Активное событие 06 - описание,Цифры должны расти. Любые цифры.
LOC_0309,ACTIVE_EVENTS,Активное событие 06 - эффект,Пассив x2.5 · 35 сек.
LOC_0310,ACTIVE_EVENTS,Активное событие 06 - кнопка,ПОКАЗАТЬ ГРАФИК
LOC_0311,RANKUP,Повышение до ранга Junior - сообщение,"Теперь от вас ждут больше, платят почти так же."
LOC_0312,RANKUP,Повышение до ранга Middle - сообщение,"Теперь считается, что вы уже разобрались. Сочувствуем."
LOC_0313,RANKUP,Повышение до ранга Senior - сообщение,Теперь вы не просто страдаете. К вам идут за советом.
LOC_0314,RANKUP,Повышение до ранга Lead - сообщение,"Теперь вы отвечаете не только за себя, но и за чужой хаос."
LOC_0315,RANKUP,Повышение до ранга CEO - сообщение,Вы добрались до вершины. Все деньги наконец-то в правильных руках.
LOC_0316,RANKUP,Попап повышения - заголовок,ПОВЫШЕН
LOC_0317,SYSTEM,Активный эффект - клик-множитель,Клики x{0} · {1} сек.
LOC_0318,SYSTEM,Активный эффект - пассив-множитель,Пассивный KPI x{0} · {1} сек.
