id	rank	upgradeType	title	description	basePrice	clickBonus	passiveBonus	specialDuration
27	Senior	Click	Боевой рефактор	Всё страшно, но стало быстрее	85000	200	0	0
28	Senior	Click	Правка на лету	Проверять будем уже после релиза	183000	400	0	0
29	Senior	Click	Жёсткий приоритет	Всё важно, но это важнее	388000	700	0	0
30	Senior	Click	Последний аргумент	Кликнул так, что спор закончился	1360000	1800	0	0
31	Senior	Passive	Система держится	Никто не знает почему	110000	0	500	0
32	Senior	Passive	Наследие легаси	Старый ужас приносит KPI	142000	0	800	0
33	Senior	Passive	Невидимая работа	Её нет, пока не сломается	2883000	0	7500	0
34	Senior	Special	Релизный угар	Паника временно повышает продуктивность	302000	8000	15000	12
35	Senior	Special	Магия опыта	Ты уже страдал похожим образом	1058000	18000	32000	15
36	Senior	Special	Тишина в чате	Редкий баф на концентрацию	4760000	40000	70000	12
37	Lead	Click	Давление сверху	Кликаешь быстрее, потому что надо	1100000	2600	0	0
38	Lead	Click	Разбор полётов	Все виноваты, KPI твой	2160000	5200	0	0
39	Lead	Click	Сильное решение	Сомнительно, зато уверенно сказано	4230000	8500	0	0
40	Lead	Click	Пинок процессу	Процесс застонал и ускорился	13000000	20000	0	0
41	Lead	Passive	Делегировал боль	Другие страдают, KPI капает	1380000	0	6500	0
42	Lead	Passive	Планёрка кормит	Слова закончились, цифры выросли	1720000	0	10000	0
43	Lead	Passive	Командная усталость	Каждый выгорел в общий зачёт	25500000	0	65000	0
44	Lead	Special	Эскалация наверх	Проблема улетела, бонус остался	3380000	80000	130000	12
45	Lead	Special	Фокус режим	Все молчат подозрительно долго	10400000	160000	260000	15
46	Lead	Special	Отмена встречи	День внезапно стал продуктивным	32000000	300000	480000	12
47	CEO	Click	Клик акционера	Один жест, и все побежали	16000000	34000	0	0
48	CEO	Click	Стратегический тык	Никто не понял, но записали	33000000	68000	0	0
49	CEO	Click	Большая кнопка	Нажал красиво, последствия потом	68000000	120000	0	0
50	CEO	Click	Видение сверху	Деталей нет, зато масштабно	226000000	310000	0	0
51	CEO	Passive	Деньги сами	KPI пахнет чужими переработками	20000000	0	85000	0
52	CEO	Passive	Совет директоров	Сидят дорого, капает стабильно	26000000	0	130000	0
53	CEO	Passive	Мотивационная речь	Все устали, прибыль поверила	287000000	0	750000	0
54	CEO	Passive	Золотой парашют	Даже падение приносит доход	751000000	0	1600000	0
55	CEO	Special	Массовая оптимизация	Людей меньше, график бодрее	53000000	1500000	2500000	12
56	CEO	Special	Великая презентация	Слайды сияют, реальность молчит	177000000	3000000	5000000	15
57	CEO	Special	Кризисный бонус	Всё горит, но премия капает	955000000	7000000	12000000	12
58	Intern	Click	Тык по инструкции	Ничего не понял, но нажал	1600	5	0	0
59	Intern	Passive	Стажёрская очередь	Ждёшь ответа, KPI капает	235	0	3	0
60	Intern	Passive	Открытый туториал	Вкладка висит, польза считается	750	0	5	0
61	Intern	Special	Чай из кулера	Вкус сомнительный, скорость рабочая	3150	12	20	12
62	Junior	Click	Баг на удачу	Нашёл случайно, выглядишь умно	6500	60	0	0
63	Junior	Click	Мышиная ярость	Курсор плачет, задача движется	16000	100	0	0
64	Junior	Passive	Джунский автопилот	Делаешь привычно, страдаешь стабильно	1500	0	18	0
65	Junior	Passive	Очередь в ревью	Тебя ждут, KPI идёт	3600	0	30	0
66	Junior	Passive	Тикет без ответа	Вопрос висит, прогресс считается	4800	0	45	0
67	Junior	Special	Кофе из автомата	Не вкусно, зато быстрее	31500	280	500	12
68	Middle	Click	Уверенный костыль	Работает странно, но уже принято	30000	350	0	0
69	Middle	Click	Быстрый фикс	Починил быстро, молишься тихо	123000	900	0	0
70	Middle	Click	Правка по памяти	Где-то видел, значит сойдёт	215500	1400	0	0
71	Middle	Passive	Дежурный мониторинг	Всё зелёное, пока не красное	17000	0	180	0
72	Middle	Passive	Рабочий шум	Все заняты, цифры ползут	40000	0	300	0
73	Middle	Passive	Старый скрипт	Никто не помнит, но помогает	70000	0	450	0
74	Middle	Special	Тихий деплой	Ничего не упало, подозрительно	385000	5000	8500	15
75	Senior	Click	Архитектурный удар	Схема сложная, клик сильнее	641000	1100	0	0
76	Senior	Click	Экстренный патч	Временный навсегда, зато работает	2244000	2800	0	0
77	Senior	Click	Точный тык	Попал туда, куда боялись	3704000	4400	0	0
78	Senior	Passive	Самописный бот	Делает работу, пугает коллег	235000	0	1300	0
79	Senior	Passive	Лог сам сказал	Ты слушал, система призналась	499000	0	2100	0
80	Senior	Passive	Тихий скрипт	Работает ночью, славы не просит	824000	0	3200	0
81	Senior	Passive	Запасной костыль	Лежал годами, снова пригодился	1747000	0	5000	0
82	Senior	Special	Боевой режим	Сон выключен, продуктивность включена	5950000	60000	105000	15
83	Lead	Click	Тимлидский взгляд	Посмотрел строго, процесс ускорился	6630000	13000	0	0
84	Lead	Click	Удар по бэклогу	Задачи дрогнули, дедлайн ожил	20400000	30000	0	0
85	Lead	Click	Командный пинг	Все проснулись, ты виноват	40000000	45000	0	0
86	Lead	Passive	Созвон капает	Говорят долго, KPI растёт	2700000	0	15000	0
87	Lead	Passive	Чужие дедлайны	Они спешат, ты получаешь	5300000	0	22000	0
88	Lead	Passive	Асинхронная боль	Никто не рядом, все страдают	8300000	0	32000	0
89	Lead	Passive	Канбан дышит	Карточки двигаются, люди нет	16300000	0	47000	0
90	Lead	Passive	Отчёт сам пишется	Цифры красивые, смысл устал	50000000	0	90000	0
91	Lead	Special	Срочная эскалация	Все забегали, KPI подпрыгнул	63000000	500000	800000	15
92	Lead	Special	День без митингов	Невероятно, работа реально пошла	77000000	750000	1200000	12
93	CEO	Click	Королевский клик	Нажал один раз, отдел побежал	110000000	190000	0	0
94	CEO	Click	Приказ сверху	Логики нет, скорость есть	365000000	480000	0	0
95	CEO	Click	Кнопка роста	Жмёшь уверенно, страдают другие	590000000	750000	0	0
96	CEO	Passive	Бюджетный дождь	Деньги падают, вопросы позже	42000000	0	200000	0
97	CEO	Passive	Отдел оптимизации	Люди исчезают, графики радуются	86000000	0	310000	0
98	CEO	Passive	Инвестор доволен	Никто не понял, но выросло	140000000	0	480000	0
99	CEO	Passive	Презентация успеха	Проблемы спрятали, прибыль показали	464000000	0	1100000	0
100	CEO	Special	Громкий анонс	Новостей мало, шума много	1120000000	10000000	17000000	15
